,VAE_0,VAE_1,VAE_2,VAE_3,VAE_4,VAE_5,VAE_6,VAE_7,VAE_8,VAE_9,cell_type,cluster
Cell_178,-0.5392973,0.32973787,1.5253253,-0.37847126,0.5143737,-0.1310828,-1.1797545,1.249718,-0.8369503,-1.4105496,Cancer,0
Cell_179,-0.48687792,-0.40674734,1.5117748,0.9023524,-0.86023915,0.9329601,0.15791626,0.48061314,0.31723368,-1.2656813,Cancer,0
Cell_180,-0.3090658,-0.6472595,1.7389688,0.38068825,0.04108794,0.050666075,-0.3652802,0.51724,-0.4401126,-1.243504,Cancer,0
Cell_181,0.4318789,0.6956899,1.4146283,0.25489217,0.28746367,-0.32271546,0.031633206,-0.1294434,1.0221837,-1.4398079,Cancer,0
Cell_182,-0.13468207,-0.9744801,1.4897515,-0.7756945,0.42146254,-0.29055718,1.0162592,0.008914396,-0.41296816,-0.99115574,Cancer,0
Cell_183,-0.24890423,-0.5079069,1.4480628,0.80102444,1.8335984,1.3784792,-1.1146599,0.6848129,0.7895132,-1.2422274,Cancer,0
Cell_184,0.51118344,-1.0917048,1.58287,1.2704208,0.004700497,-0.13956805,0.27069336,-1.4194784,-0.5436542,-1.0812515,Cancer,0
Cell_185,-0.7380143,0.2631734,1.4818428,-0.92191863,0.58774424,1.6455429,0.74411446,0.51863575,0.5258317,-1.2230808,Cancer,0
Cell_186,-1.3076603,0.18242872,1.4879355,-0.3206011,1.3238472,1.3535653,0.5154913,-1.0134472,-0.19848426,-1.2551606,Cancer,0
Cell_187,-0.28109074,0.43086213,1.5867182,0.47615054,0.6019997,0.4502341,0.6472286,0.10662068,-0.5990698,-1.1841962,Cancer,0
Cell_188,-0.0735811,0.4633208,1.4903674,-0.22465223,0.5740366,0.81325704,1.8524622,-2.6127052,-0.49506763,-0.892148,Cancer,0
Cell_189,0.09021354,-0.8965704,1.1684666,0.08500825,-0.8757351,0.89961463,1.3085517,-1.3759868,-0.9385527,-0.8429358,Cancer,0
Cell_190,-0.18460189,0.6539912,1.5494335,1.0857509,-0.3598596,-0.7903004,-0.9357441,-0.55638885,0.7196655,-1.1463693,Cancer,0
Cell_191,-0.7414911,0.398662,1.5901163,1.1638836,-0.049254805,0.68285424,-1.4408951,1.0888418,1.1237756,-0.9502586,Cancer,0
Cell_192,-0.3671215,0.54511434,1.771508,-0.22853264,0.868023,1.6830649,-1.6955462,1.8120109,0.6048506,-1.0513195,Cancer,0
Cell_193,-0.8448026,-1.7876078,1.2842946,0.76462626,-0.10526231,0.25695333,0.3328375,0.46231264,-0.6096916,-0.9142477,Cancer,0
Cell_194,-0.20595273,0.20330411,1.5184093,-0.62075466,-0.6518563,0.11646986,-2.2897058,-0.13833112,-0.7874228,-1.1153047,Cancer,0
Cell_195,0.32750088,1.5373544,1.5399132,-1.3331879,0.10975657,0.9604827,-1.766496,0.9849732,0.41199437,-1.1558484,Cancer,0
Cell_196,-0.55211985,-0.51520246,1.4671206,0.43290776,-0.6185346,-0.8351496,-1.7876419,1.337944,-1.1305745,-1.0820643,Cancer,0
Cell_197,-1.1304715,0.6687685,1.2674391,0.2875942,-0.34704688,-0.10936489,-1.1231719,1.475784,0.93706006,-0.9269199,Cancer,0
Cell_198,-1.1365285,-2.2132614,1.4942513,0.08914342,-0.13217366,-0.47928908,0.5939352,-0.95487094,-0.41362512,-1.1474417,Cancer,0
Cell_199,-0.1750624,1.2807579,1.4838804,0.5379948,-0.48370934,-1.5604336,-0.4316818,0.16758284,0.9319699,-0.89777726,Cancer,0
Cell_200,0.3530009,0.07222943,1.5494684,0.38560128,0.97561514,-1.1617728,-0.6669003,-0.124498375,-1.2030226,-0.8397864,Cancer,0
Cell_201,-0.1473246,2.3404438,1.2905766,0.42811242,-0.77374923,0.17710918,-0.24733482,0.09689597,0.22283264,-1.0427461,Cancer,0
Cell_202,-0.8065572,-1.5735078,1.5113287,-1.2763962,1.0095754,0.3481496,0.7547156,-0.1758192,0.40895236,-1.0442748,Cancer,0
Cell_203,0.36383107,-0.5860164,1.538169,0.27289099,0.46020615,-1.0674046,-0.016197804,-0.7559552,0.3216574,-0.72042394,Cancer,0
Cell_204,-0.87452,-1.9288627,1.8215268,-0.3408247,0.18298283,0.98894954,1.9988271,2.4292035,-1.0823194,-0.85051394,Cancer,0
Cell_205,-0.52170855,0.89972234,1.2401371,0.70774275,-0.14116949,-2.1315234,-0.7464845,-0.2594924,0.19497019,-0.84980303,Cancer,0
Cell_206,-1.2089672,-0.8459496,1.4997518,0.5966569,-0.8818357,-0.85015154,-0.12941377,-0.5368499,-1.7624445,-1.0069954,Cancer,0
Cell_207,-0.79438245,0.20382175,1.7204971,-0.5510766,3.0431523,0.22514707,0.3158838,1.6402527,0.4988235,-0.93438405,Cancer,0
Cell_208,-0.0042099953,-0.5067751,1.6739959,1.6321288,1.3864084,-0.5888364,-0.5664168,1.1418935,0.18935037,-1.0331519,Cancer,0
Cell_209,-1.7929499,0.043333888,1.3282984,0.558671,0.20102113,1.7613134,0.06816239,-1.4381607,0.1924037,-0.83706576,Cancer,0
Cell_210,0.85622156,-0.11044201,1.5237083,0.2567401,0.49914566,0.29132906,-0.16372757,0.3732306,-1.1153566,-0.8856718,Cancer,0
Cell_211,-0.7175449,0.7610801,1.3069133,1.4850525,0.6075357,0.39239556,-0.4633509,-0.3089409,1.366657,-0.81683815,Cancer,0
Cell_212,-1.1553004,-0.568792,1.3654772,0.5993765,1.4195983,-0.4369916,-0.22196634,0.040518004,0.8613406,-1.1469214,Cancer,0
Cell_213,-1.1606457,0.6451067,1.4157107,-0.36714604,0.9647372,-0.5561928,0.89892477,0.84936994,0.2808504,-1.5066516,Cancer,0
Cell_214,-0.41686034,-0.21720505,1.4987712,0.7692332,0.021335393,1.1319007,-0.2639301,0.2101902,-0.10547295,-0.92002046,Cancer,0
Cell_215,-0.66415787,0.8008446,1.4848553,-1.1313682,-1.1161046,2.3936245,-0.28738865,-0.03726045,0.3761537,-1.0358609,Cancer,0
Cell_216,-0.35684195,-0.22802879,1.1528167,-0.27299428,-1.7615732,-1.4063631,0.89711964,-0.78272855,-1.2443794,-0.7872263,Cancer,0
Cell_217,-0.030820549,1.0664853,1.812925,-2.9713154,0.68553483,0.50426537,0.21125485,0.26702535,-0.1694439,-0.82387364,Cancer,0
Cell_218,0.18172091,-1.1039487,1.5072774,0.33597532,-1.6045015,1.2394297,0.8042763,0.73781854,0.532127,-1.1124591,Cancer,0
Cell_219,-0.35158014,-1.160697,1.4659374,-0.13137916,0.4287061,0.40841156,-0.0018919297,-0.6069336,-0.09961626,-0.7028202,Cancer,0
Cell_220,-0.04063016,0.27634084,1.3538136,-0.21371317,0.15970913,0.6002818,0.77345204,1.0098096,0.7758062,-1.0004346,Cancer,0
Cell_221,-1.0125091,0.3567815,1.4177316,-0.40482026,-1.4406248,-1.6700206,0.54818267,0.66113067,-0.04586692,-1.2226869,Cancer,0
Cell_222,-0.3609048,-0.20120932,1.5883563,-0.3691593,-0.30310145,2.064127,-1.2881154,0.18933961,-0.7989153,-1.1831962,Cancer,0
Cell_223,-1.0973145,-0.785304,1.4848003,-1.1218479,0.62009513,0.018701311,-0.9433656,1.1082922,-0.07854554,-1.0472261,Cancer,0
Cell_224,-0.41300407,-0.15196767,1.6012324,-1.6451548,0.5943029,-0.026843153,-0.152708,1.9346325,0.3108185,-0.8354582,Cancer,0
Cell_225,-0.14635976,-1.0472524,1.3480281,-0.9158614,0.712628,-1.103567,-0.02910633,-0.44876495,-0.2689228,-1.262145,Cancer,0
Cell_226,-0.08121109,-0.2463048,1.3513508,-1.4229276,-2.2612174,1.1967467,1.5669017,0.7131047,1.0122483,-1.3244658,Cancer,0
Cell_227,-1.1440152,0.7597922,1.4781948,1.4121442,0.85409975,-0.9666983,1.0052507,0.10106404,0.44176435,-1.2458732,Cancer,0
Cell_228,-1.2449515,0.38102368,1.3603678,0.018178623,1.8855836,-0.07254244,0.3200407,1.8004845,1.208429,-0.85550565,Cancer,0
Cell_229,0.48124903,-0.04004237,1.6358335,-1.9866277,-0.8274792,0.5157631,0.91133887,-1.1049387,1.3368688,-0.9842184,Cancer,0
Cell_230,0.3187403,-0.50168675,1.499218,-0.8770919,0.82133806,0.45681548,-0.6194163,0.68281966,-0.14743361,-1.3609955,Cancer,0
Cell_231,-0.102069855,1.5778522,1.4002855,-1.1937503,0.2265414,-0.3067061,1.1103146,-0.4374849,0.08561388,-1.2504255,Cancer,0
Cell_232,-0.18528506,0.4664621,1.6168981,-1.4809262,0.45248333,0.30250928,0.70284325,-0.5425803,0.6507573,-1.0716536,Cancer,0
Cell_233,0.39182046,0.65455467,1.6344597,1.7250872,0.6633313,0.5218789,-1.900051,0.6506309,-2.5372324,-0.9705169,Cancer,0
Cell_234,-1.0387394,0.024750272,1.6789685,0.22351246,-0.5404196,0.7871781,0.4403506,-0.17702794,0.42632103,-0.88708407,Cancer,0
Cell_235,-0.2451208,0.65629715,1.5778612,0.76299924,-0.47110304,1.5174817,-0.37982458,1.0172856,-1.054174,-1.1970297,Cancer,0
Cell_236,-0.06615046,-0.8871496,1.4002268,0.5979487,0.86796296,1.066077,-1.2951328,1.4616657,1.591572,-1.1824723,Cancer,0
Cell_237,-0.20204411,-0.2937237,1.5770037,-0.83168185,1.610049,0.23168042,-1.7273625,1.1955831,-0.23650311,-1.1877477,Cancer,0
Cell_238,1.0527445,1.254254,1.7021184,-0.056813084,2.2671523,0.7029393,-1.241543,1.302959,-0.48126423,-0.9948043,Cancer,0
Cell_239,-1.6003487,0.037634864,1.7939671,-0.16014747,0.8338473,0.59100765,-1.355427,0.74028146,0.4103359,-0.9954821,Cancer,0
Cell_240,-0.038930327,1.6292388,1.4849721,1.7627475,0.62293243,-0.54512846,-0.1513524,0.83172154,-0.04327467,-1.1611744,Cancer,0
Cell_241,-0.74949837,0.5833555,1.5461342,0.080200374,-0.015905976,-0.72793525,-1.9695184,-1.0488745,-1.0109295,-1.1381253,Cancer,0
Cell_242,-0.29691792,0.349887,1.6487896,-1.1753786,-1.0952293,0.1337318,-1.1617974,0.34800863,0.4923538,-0.8060818,Cancer,0
Cell_243,-0.2047191,-0.7227742,1.4959494,1.1740537,-0.87420034,-0.08701873,1.2013638,-1.2149669,0.39937973,-1.4053707,Cancer,0
Cell_244,-0.53635395,1.8222932,1.4183652,-2.2674885,0.28493762,0.21209714,-0.24241675,1.4416608,0.8443393,-0.9630626,Cancer,0
Cell_245,-0.62431884,-0.3717341,1.5211521,-1.7016932,-0.26757973,-0.78746647,0.69939613,-0.2113558,0.15102449,-0.7037684,Cancer,0
Cell_246,-0.12426345,0.42194775,1.678056,-0.18205833,0.83269835,-2.1910799,0.2555573,0.38203788,-0.03266993,-1.1783509,Cancer,0
Cell_247,-1.3560324,-0.7344894,1.3698297,-0.30996245,0.30798027,-0.14664295,2.862473,1.9119381,-0.06234827,-1.2761241,Cancer,0
Cell_248,-0.8108442,0.4793225,1.5459731,-1.6009408,0.8209264,-0.59325945,0.17046231,1.3877959,1.058078,-0.878963,Cancer,0
Cell_249,0.055119097,-0.060255066,1.5468155,-0.0003312584,0.5079786,-0.48703355,-1.7280042,-0.2027651,0.47042003,-1.0456296,Cancer,0
Cell_250,0.33354616,-1.2221686,1.5418223,-0.5338704,0.4236716,0.02251355,-1.5675758,0.16347155,0.4330662,-0.8661267,Cancer,0
Cell_251,-0.32640603,-0.3716517,1.7827864,0.2587668,-0.8765321,0.64726114,-0.1972487,-0.2678523,0.18545401,-1.2611475,Cancer,0
Cell_252,-1.4898641,-1.3581291,1.4946687,0.98424995,0.61605483,-0.9693582,-0.07033747,-0.26269376,-1.4999847,-0.9590551,Cancer,0
Cell_253,-0.86435646,-0.47611463,1.4700505,-1.1352254,0.5985936,0.23435134,1.1690226,-0.1773623,0.72567284,-0.9082225,Cancer,0
Cell_254,-1.0609268,0.80540234,1.7005281,-0.48196954,0.65482104,1.767796,-0.89732325,-0.3417288,-1.451307,-1.0139506,Cancer,0
Cell_255,-1.7168626,-0.20312923,1.4296082,0.9073608,-0.83967894,-1.0426002,0.9161268,-0.056759737,0.4951441,-1.2469659,Cancer,0
Cell_256,-0.8060317,0.24022324,1.6152554,1.5532266,0.11012113,-1.7743022,-0.028603427,-1.1587187,1.3332088,-1.1581917,Cancer,0
Cell_257,0.38069808,1.4316778,1.3905864,-1.0900693,-0.16746229,1.4988508,-0.1828732,-0.7705079,0.5376608,-1.0325749,Cancer,0
Cell_258,-0.6908721,-1.896056,1.3312957,-0.067067645,0.8803696,-1.2690401,0.37570897,0.5368063,1.0952592,-1.1026757,Cancer,0
Cell_259,0.120093554,0.37193233,1.465602,-0.5813548,-0.81606436,-0.84214574,-0.5740354,1.121004,-0.40072387,-1.0765079,Cancer,0
Cell_260,-0.5175935,-0.8501912,1.5844901,-1.1997685,0.13443248,-0.29025596,0.9874774,-1.3919563,-1.23968,-1.1031053,Cancer,0
Cell_261,0.6557424,1.0182884,1.4699125,1.2605189,0.38093293,1.9881942,0.49632165,-0.6095986,-0.28627712,-0.4762239,Cancer,0
Cell_262,-0.48800924,-1.1006391,1.6497054,0.48430794,0.46319234,0.751381,-0.8507537,0.8436018,0.3205267,-1.0705596,Cancer,0
Cell_263,-1.6486574,-0.11514872,1.4746704,0.6170959,0.73444927,-0.64626837,0.36569896,1.5583097,0.98872185,-1.0767606,Cancer,0
Cell_264,-0.19247055,1.7425494,1.4866918,-0.07841123,0.19570296,-0.37931037,-0.93352884,0.5677151,-0.67699677,-1.1265497,Cancer,0
Cell_265,-0.07665762,0.10356332,1.528728,0.6135322,0.8010918,-1.152106,-0.020746876,0.26185182,0.96282715,-0.9691034,Cancer,0
Cell_266,0.408108,1.130122,1.4952798,0.6326222,-0.5389111,-0.98429,-0.643852,0.52781254,-1.6594377,-1.080169,Cancer,0
Cell_267,-0.911095,-0.41371554,1.4689449,-1.4990549,-1.0932207,0.24345857,-0.68255633,-0.059884124,0.9528463,-0.8385258,Cancer,0
Cell_268,0.2117464,0.5629639,1.75089,0.21280383,0.14374599,0.76954764,0.6394031,-0.7220236,0.45283028,-1.2404405,Cancer,0
Cell_269,0.8974916,-1.6633524,1.2981573,-0.9400779,0.184261,-0.518979,-1.6490492,-0.46324933,0.21819352,-0.9797513,Cancer,0
Cell_270,-0.45961347,0.08161061,1.3881657,-0.38624385,1.3709245,0.2516668,0.14036418,-0.39709988,0.070331,-1.0779178,Cancer,0
Cell_271,-0.22607934,0.484111,1.2604454,-1.5217178,0.41548908,1.715494,0.4349515,-0.70909685,-0.15201944,-1.1984717,Cancer,0
Cell_272,-0.4258489,-0.016553039,1.3906438,-0.64061964,0.26558343,0.72648215,0.3170338,0.70270705,0.026055634,-1.163394,Cancer,0
Cell_273,-0.21985108,0.29681057,1.5798057,1.0122116,-1.3612033,-0.28200358,0.35098627,0.38037583,0.4758282,-0.8208289,Cancer,0
Cell_274,-0.7045871,0.9025823,1.4713268,1.3137051,0.43612194,0.69839597,0.56088376,-0.67921835,-0.23159482,-0.85086435,Cancer,0
Cell_275,-0.15336221,1.3453709,1.6645175,-0.09442469,1.5610037,1.1263779,0.993898,-0.39521438,-0.042353682,-1.1718736,Cancer,0
Cell_276,-1.1698227,-0.73225737,1.4890927,0.22340795,-0.40807912,0.00245367,-1.7238183,1.9760206,-0.62648785,-0.8434477,Cancer,0
Cell_277,-0.7873301,1.0583221,1.4558235,0.40771613,0.6861741,0.83583504,1.4038283,-0.5219713,-0.12804778,-0.887743,Cancer,0
Cell_278,-0.36821613,-0.5213826,1.6945939,-0.22772986,0.87713313,-0.41228795,-0.56257486,-1.7501211,-1.2842588,-0.91001356,Cancer,0
Cell_279,-0.6218175,-0.084092036,1.3801643,0.27597,2.7955508,0.73764414,1.3149338,-0.020953186,2.1928236,-1.1452162,Cancer,0
Cell_280,1.0473006,-0.9742619,1.371545,0.02816784,-0.008729845,0.51385295,-0.84397894,-0.95148396,0.6262107,-1.0242871,Cancer,0
Cell_281,0.3173494,-1.0893059,1.6979474,1.1619717,-0.85517323,-0.3298151,1.819221,0.66839945,-0.1644874,-0.9587358,Cancer,0
Cell_282,-0.19165127,0.093498,1.5592846,-0.20872056,0.14506215,0.97885233,1.5814539,2.5139267,-0.3927251,-1.1370903,Cancer,0
Cell_283,1.301641,-0.07290142,1.5151707,1.3427159,0.97058666,-0.9300729,0.17970231,0.27069312,-0.27440614,-1.1538723,Cancer,0
Cell_284,-0.513585,1.3013262,1.4791102,-0.42190057,1.3000877,0.1909967,1.2381618,0.53461456,-1.3777114,-0.952368,Cancer,0
Cell_285,-0.25686753,0.1357709,1.3728845,0.9185865,2.181714,-0.22439732,1.0982609,0.001128532,0.37401268,-0.7217448,Cancer,0
Cell_286,-1.1359133,-0.032333642,1.5742657,1.0507666,-1.1167598,0.009574838,0.33592755,0.16537681,2.022554,-1.0114752,Cancer,0
Cell_287,0.29451472,1.1751485,1.6327456,-1.3495017,0.9660469,-0.9155443,0.6779519,1.0578878,0.18904932,-1.2853732,Cancer,0
Cell_288,-0.890687,-1.2058434,1.8622514,-0.088910066,0.9391341,0.90939254,-2.2228405,-0.99244595,0.45114946,-0.95942473,Cancer,0
Cell_289,-1.1890779,0.4502024,1.4723587,-1.902021,0.52405715,-1.0614793,-1.5238879,0.63781935,-0.4589099,-1.0375859,Cancer,0
Cell_290,-1.0072837,1.3124175,1.501993,-1.8042591,0.22688507,-0.22903386,-0.44455117,-1.4833597,-0.29782432,-1.296732,Cancer,0
Cell_291,-0.310081,0.41731185,1.5187722,-1.1757619,0.17467396,-0.19741403,0.24028811,-0.06602775,-1.2315139,-0.9639261,Cancer,0
Cell_292,0.6771903,0.25705582,1.5218089,1.5253235,0.5005048,1.8050687,0.17422585,-0.09184993,-1.0879155,-1.0538498,Cancer,0
Cell_293,0.021701902,-0.5611502,1.587764,-1.4904126,0.923282,-0.54033136,-0.7747506,1.2030543,0.30038333,-1.1602277,Cancer,0
Cell_294,-0.39914182,-0.21759897,1.3640113,-0.4925599,1.1190287,1.0923471,-0.28924888,-0.061807163,-2.1183488,-0.7816693,Cancer,0
Cell_295,-0.005193323,-0.71313167,1.3524401,0.98908335,-0.9246261,0.82279646,-0.5725779,-1.8136295,0.04841021,-0.73715377,Cancer,0
Cell_296,-0.41564852,0.7825785,1.2526506,0.16385901,0.07849717,-0.5832515,0.6868023,0.8405183,0.064205125,-1.3642213,Cancer,0
Cell_297,-0.63621104,-2.5960634,1.4751217,-0.99370396,0.9333842,0.71092606,0.16653106,-0.7518668,0.04012565,-1.0592006,Cancer,0
Cell_298,-0.9594368,1.0656317,1.3852946,-1.0330892,-0.8416506,0.7383549,0.527184,1.1409931,-1.5892533,-0.9873736,Cancer,0
Cell_299,-0.70901346,1.424678,1.600006,1.3721504,-0.30865303,-0.8764752,-0.06879414,1.5828222,-1.1378744,-0.9658861,Cancer,0
Cell_300,-0.7904086,-0.38535735,1.6931019,-1.2865828,0.76204234,-0.5418093,0.6162882,0.11903583,-1.4442683,-0.7688296,Cancer,0
Cell_301,0.32715625,-0.5737594,1.8341904,0.32085952,-0.95487475,1.7044935,-0.2534263,1.4045457,-0.24054581,-1.0042487,Cancer,0
Cell_302,-0.39327288,-0.021595169,1.4171526,1.6606345,-1.956831,0.41850257,-1.4823154,0.2909781,-0.39008093,-0.8075631,Cancer,0
Cell_303,-0.40155244,0.24421582,1.5451654,0.051313635,0.31869555,-1.8138936,-1.2129813,0.4826956,0.9293803,-0.6426668,Cancer,0
Cell_304,-1.0666323,0.7093566,1.3467408,-0.088793576,1.5662789,0.5156549,-0.32859036,0.4905119,-1.0056475,-1.0136162,Cancer,0
Cell_305,0.29732215,-1.3867786,1.2471045,-1.0531088,0.10939282,1.8327385,1.1414986,-0.38988855,0.34720692,-1.1614171,Cancer,0
Cell_306,-0.37248152,-0.66102517,1.5191184,0.8593895,0.26074082,-0.49400133,-0.592591,0.60208565,-0.8243326,-0.9798827,Cancer,0
Cell_307,-0.36158147,-1.672327,1.6613818,-0.84508663,0.5384472,0.5259344,-0.20447592,0.929502,-1.1175321,-1.0571549,Cancer,0
Cell_308,-0.021898538,0.5002859,1.729615,-0.18422535,-1.0047753,1.6349026,0.30142882,-0.29020518,-1.2074262,-1.1326209,Cancer,0
Cell_309,0.15223202,0.1939149,1.5202376,1.7446616,1.8731141,-1.7439872,-0.6893094,1.3616009,1.6763788,-1.202686,Cancer,0
Cell_310,-1.0670247,-0.6301996,1.7808267,0.50881624,0.20028128,-0.53349066,0.64148635,-1.7467521,-0.60314715,-0.90469426,Cancer,0
Cell_311,-0.23440026,0.07950021,1.5428436,-0.44434673,-1.1362184,0.20979796,-1.0535357,-0.45043117,-2.1523275,-1.1986895,Cancer,0
Cell_312,0.057692647,1.1142426,1.6565275,0.47739688,-1.0415404,1.0890158,0.5272439,0.16183676,-1.3785701,-1.339211,Cancer,0
Cell_313,-0.15767162,-1.2204051,1.4979589,0.62137115,-1.824639,0.9072784,-0.97801065,-0.1581026,0.63057125,-1.2678014,Cancer,0
Cell_314,0.22410184,-0.7557371,1.5705862,-0.26315108,0.70250565,0.26781136,0.029847987,-0.9183944,-0.24262628,-0.8789488,Cancer,0
Cell_315,-0.33439866,0.9624305,1.7037711,-2.8982723,0.9446275,0.26648968,0.42674708,-0.6771599,0.8616648,-0.95240986,Cancer,0
Cell_316,0.0022573173,-0.14918883,1.7016681,-1.2399018,-0.74141246,0.6863828,0.27040625,1.0242261,0.6948304,-1.2174919,Cancer,0
Cell_317,-0.51069355,0.2920364,1.0153575,2.6676252,1.0872022,1.3707353,-0.17647175,-1.7171271,0.7745897,-1.0223379,Cancer,0
Cell_318,0.6581905,0.5305382,1.3374408,0.728001,-0.31108204,-1.1221949,1.8729165,-0.7799473,0.8721618,-0.91535866,Cancer,0
Cell_319,-0.5402223,-0.84673315,1.544608,-1.4552257,-0.49873924,0.6821287,-0.019398741,-0.25095186,0.28223273,-1.215475,Cancer,0
Cell_320,-0.32462513,0.8934009,1.7402538,-0.63829947,1.454722,0.49083373,-0.11193727,1.3399428,0.24356437,-1.008321,Cancer,0
Cell_321,0.5316405,1.1703118,1.6644175,-0.81670284,1.578356,-1.0660627,0.64530647,1.0414681,0.05921018,-0.93590075,Cancer,0
Cell_322,0.5542984,0.3611153,1.5632093,0.71715915,0.54148555,1.0167446,0.63330096,1.0470802,0.93735445,-1.1318278,Cancer,0
Cell_323,0.35540992,0.6417076,1.5720805,0.29514343,0.4217999,0.20612538,-0.2423573,-0.8948791,0.62468964,-0.9030875,Cancer,0
Cell_324,-0.11664215,-0.32388595,1.5923561,0.24187028,0.31636167,0.7690951,1.561915,-0.12326623,0.75498146,-1.0895541,Cancer,0
Cell_325,-0.24594966,1.5024105,1.5623478,0.11922241,0.9159779,0.191407,0.69966775,-0.39259392,0.3985963,-1.2714436,Cancer,0
Cell_326,-0.69311786,0.8010264,1.4389987,0.959877,0.2844395,2.786468,-0.9295336,-0.26913846,0.7690222,-0.7201983,Cancer,0
Cell_327,1.3221663,0.81982124,1.5327704,0.34169605,0.84409493,0.72355604,-0.38959083,-0.3355741,1.8144575,-0.8573163,Cancer,0
Cell_328,1.004356,-0.09415834,1.5504454,0.34239215,-0.8602432,-0.023639157,0.28136605,1.1937716,1.0524309,-1.128244,Cancer,0
Cell_329,-0.23171103,-0.039203186,1.816344,-0.023973882,0.43707943,0.8672901,0.5696659,-0.09854761,-1.379846,-1.0658442,Cancer,0
Cell_330,-0.83111614,-0.86488765,1.4889355,1.4153231,1.3164676,-0.380539,1.3421564,0.48431683,-0.2809121,-1.0912303,Cancer,0
Cell_331,-1.0384481,-1.0144193,1.4634881,0.657184,0.4702878,-0.5980358,1.4378865,0.12816817,0.017805353,-0.56802005,Cancer,0
Cell_332,-1.0840174,0.04879365,1.658441,1.9222319,0.30392757,0.7030466,1.1249349,-1.658388,0.7945689,-1.0551722,Cancer,0
Cell_333,-0.038342357,0.79029673,1.1449764,0.17764671,0.58337855,-1.2741431,-0.6065595,0.92341304,1.2281697,-1.2655325,Cancer,0
Cell_334,-0.64060056,1.0879542,1.3773086,-0.23293993,-0.041426033,-0.97617644,-0.31168315,-1.2103075,-1.2112874,-1.1490841,Cancer,0
Cell_335,-0.7133116,1.9144446,1.4607124,0.12056473,0.40452778,0.24886273,0.9604671,0.9287456,-1.0898905,-1.3349817,Cancer,0
Cell_336,-1.8084295,0.31738856,1.5667698,0.78793216,-0.28945807,0.007814959,0.059264697,0.62935644,-1.4730699,-0.95784587,Cancer,0
Cell_337,-0.43622372,-0.021951502,1.580254,0.97238433,-0.7845895,-0.2565372,0.7795405,0.40839383,0.62012416,-1.0196935,Cancer,0
Cell_338,0.07330519,-0.3166412,1.68093,0.12531535,0.8093152,-0.30977115,-0.5099961,2.4887006,-1.0332093,-1.3541483,Cancer,0
Cell_339,0.32617807,0.9337758,1.3985054,-0.48967806,1.479328,1.7612934,0.6238487,-1.0709573,-0.813316,-1.1142142,Cancer,0
Cell_340,-0.43434468,0.40779606,1.7554251,-0.13824093,1.3949006,-1.1181171,0.65536386,-1.0315002,-0.33711246,-1.49616,Cancer,0
Cell_341,-0.64892054,0.30833876,1.6508154,-0.33072752,-1.6396828,1.0451237,-1.0749322,-0.4655134,-0.9146467,-0.98180807,Cancer,0
Cell_342,-0.9523451,-0.2772338,1.3829293,0.16712663,1.5671631,-1.6868486,1.9796022,-1.0005746,-0.6593124,-1.0327917,Cancer,0
Cell_343,-0.45512712,-0.24697754,1.5259013,-0.22716197,0.69120026,-0.57492936,-1.5972039,-1.6473976,-0.22442608,-1.2456503,Cancer,0
Cell_344,-0.25191578,0.47725415,1.53349,1.1878448,-1.1435324,-0.34014738,0.080534816,0.6597613,-0.17435661,-0.83782375,Cancer,0
Cell_345,-0.3902217,1.6967607,1.7565905,0.5277571,0.82994884,0.07443348,0.99242693,-0.21850196,0.16851601,-1.0108758,Cancer,0
Cell_346,-0.7079357,-0.4615485,1.5711391,1.5961158,1.0068914,1.4035221,-2.3619704,-0.4750623,-0.71047795,-1.0316379,Cancer,0
Cell_347,-0.24269839,-1.4988832,1.5750569,0.5239137,0.68343294,0.7329481,-0.120097816,0.9017866,0.7630116,-1.2881476,Cancer,0
Cell_348,-0.13784257,-0.66957015,1.375541,-0.76420873,0.3418726,1.8746215,-0.0086925775,-0.21946597,1.3551447,-1.1694419,Cancer,0
Cell_349,-1.1838957,0.8053494,1.7248969,1.3330873,2.253606,0.90454304,-0.49068514,0.83953685,1.0333935,-0.8277142,Cancer,0
Cell_350,1.189466,-0.19125828,-0.53473765,-0.033941243,1.093867,-1.6772232,1.498383,-0.98604757,1.4286795,2.1412392,Stromal,2
Cell_351,0.27475435,-0.029348508,-0.7172874,0.90232575,-0.11694029,-1.4419131,-1.2108392,-0.3238113,0.87978196,2.083038,Stromal,2
Cell_352,-0.60100615,-0.32511872,-0.48375338,-0.68396336,0.029181883,1.0527682,2.8153045,0.29614243,1.4655155,1.9749733,Stromal,2
Cell_353,0.5085159,0.13533962,-0.71731406,-0.6197809,-0.83371246,-0.28600052,1.6521835,0.37716824,-0.45441073,2.1466267,Stromal,2
Cell_354,0.54482514,1.2463422,-0.64880335,0.9341218,0.71060824,0.08724278,0.07173622,-0.8608309,0.59075284,1.9733205,Stromal,2
Cell_355,-0.09062594,-0.537568,-0.53303355,-0.77096874,-0.60310745,0.22614163,2.1385736,-0.0066246316,0.1417886,2.143951,Stromal,2
Cell_356,0.2932006,0.64271796,-0.6303205,-0.7564299,0.52694595,-1.4956555,-1.8590795,-0.17010754,-0.4925705,2.1071548,Stromal,2
Cell_357,1.9559484,-0.49564534,-0.42907482,2.7125986,0.5859231,-1.2252755,0.72651446,0.5394353,0.79028034,2.1731448,Stromal,2
